n° SIRET,Pays,Catégorie,Sous-catégorie,Nom établissement,Adresse,Code postal,Ville,Site internet,Académie
,Etats-Unis,Ecoles internationales,Primaire,American School of Paris,41 Rue Pasteur,92210,Saint-Cloud,www.asparis.org,Versailles
,Etats-Unis,Ecoles internationales,Collège,American School of Paris,41 Rue Pasteur,92210,Saint-Cloud,www.asparis.org,Versailles
,Etats-Unis,Ecoles internationales,Lycée,American School of Paris,41 Rue Pasteur,92210,Saint-Cloud,www.asparis.org,Versailles
,Etats-Unis,Ecoles internationales,Collège,Collège de l'école active bilingue Jeannine Manuel,70 Rue du Théâtre,75015,Paris,www.eabjm.com ,Paris
,Etats-Unis,Ecoles internationales,Collège,Collège de l'Ermitage,24 Avenue Eglé,78600,Maisons-Laffitte,www.ermitage.fr ,Versailles
,Etats-Unis,Ecoles internationales,Collège,Collège du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Etats-Unis,Ecoles internationales,Collège,Collège Marcel Roby,3 Rue de La Rochejacquelein,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Etats-Unis,Ecoles internationales,Primaire,Ecole active bilingue Jeannine Manuel,70 Rue du Théâtre,75015,Paris,www.eabjm.com ,Paris
,Etats-Unis,Ecoles internationales,Primaire,Ecole du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Etats-Unis,Ecoles internationales,Primaire,Ecole Schnapper,26 rue Schnapper,78100,Saint-Germain-en-Laye,www.americansection.org/our-campuses/ecole-schnapper/ ,Versailles
,Etats-Unis,Ecoles internationales,Primaire,International School of Paris,6 Rue Beethoven,75016,Paris,www.isparis.edu,Paris
,Etats-Unis,Ecoles internationales,Collège,International School of Paris,6 Rue Beethoven,75016,Paris,www.isparis.edu,Paris
,Etats-Unis,Ecoles internationales,Lycée,International School of Paris,6 Rue Beethoven,75016,Paris,www.isparis.edu,Paris
,Etats-Unis,Ecoles internationales,Lycée,Lycée de l'école active bilingue Jeannine Manuel,70 Rue du Théâtre,75015,Paris,www.eabjm.com ,Paris
,Etats-Unis,Ecoles internationales,Lycée,Lycée de l'Ermitage,24 Avenue Eglé,78600,Maisons-Laffitte,www.ermitage.fr ,Versailles
,Etats-Unis,Ecoles internationales,Lycée,Lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Etats-Unis,Ecoles internationales,Primaire,Marymount international School,72 Boulevard de la Saussaye,92200,Neuilly-sur-Seine,www.marymount.fr ,Versailles
,Etats-Unis,Ecoles internationales,Collège,Marymount international School,72 Boulevard de la Saussaye,92200,Neuilly-sur-Seine,www.marymount.fr ,Versailles
,Etats-Unis,Ecoles internationales,Lycée,Marymount international School,72 Boulevard de la Saussaye,92200,Neuilly-sur-Seine,www.marymount.fr ,Versailles
,Etats-Unis,Ecoles internationales,Lycée,Lycée franco-allemand (section anglophone),9 Rue Collin Mamet,78530,Buc,www.lyc-lfa-buc.ac-versailles.fr,Versailles
,Royaume-Uni,Ecoles internationales,Primaire,British School of Paris,38 Quai de l'Écluse,78290,Croissy-sur-Seine,www.britishschool.fr ,Versailles
,Royaume-Uni,Ecoles internationales,Collège,British School of Paris,38 Quai de l'Écluse,78290,Croissy-sur-Seine,www.britishschool.fr ,Versailles
,Royaume-Uni,Ecoles internationales,Lycée,British School of Paris,38 Quai de l'Écluse,78290,Croissy-sur-Seine,www.britishschool.fr ,Versailles
,Royaume-Uni,Ecoles internationales,Collège,Collège de l'école active bilingue Jeannine Manuel,70 Rue du Théâtre,75015,Paris,www.eabjm.com ,Paris
,Royaume-Uni,Ecoles internationales,Collège,Collège de Sèvres,1 Rue Lecocq,92210,Sèvres,www.clg-sevres.ac-versailles.fr,Versailles
,Royaume-Uni,Ecoles internationales,Collège,Collège des Hauts Grillets,11 Boulevard Hector Berlioz,78100,Saint-Germain-en-Laye,www.clg-hautsgrillets-st-germain-laye.ac-versailles.fr,Versailles
,Royaume-Uni,Ecoles internationales,Collège,Collège du lycée Camille Sée,11 Rue Léon Lhermitte,75015,Paris,http://www.ac-paris.fr/serail/jcms/s1_110167/ee-lg-clg-camille-see-portail ,Paris
,Royaume-Uni,Ecoles internationales,Collège,Collège du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Royaume-Uni,Ecoles internationales,Collège,Collège du Sacré Cœur,3 rue des Bourdonnais,78000,Versailles,www.sacrecoeur-versailles.fr ,Versailles
,Royaume-Uni,Ecoles internationales,Collège,Collège Ecole internationale bilingue (EIB) de Paris,"16, rue Margueritte",75017,Paris,www.eab.fr ,Paris
,Royaume-Uni,Ecoles internationales,Collège,Collège Edouard Branly,8 rue Bauyn de Perreuse,94130,Nogent-sur-Marne,,Créteil
,Royaume-Uni,Ecoles internationales,Collège,Collège international,48 rue Guérin,77300,Fontainebleau,www.anglosection.com,Créteil
,Royaume-Uni,Ecoles internationales,Collège,Collège international Honoré de Balzac,118 boulevard Bessières,75017,Paris,www.balzacinternational.org,Paris
,Royaume-Uni,Ecoles internationales,Collège,Collège Jean Moulin,32 Avenue de la Résistance,92370,Chaville,www.clg-moulin-chaville.ac-versailles.fr,Versailles
,Royaume-Uni,Ecoles internationales,Collège,Collège La Quintinye,1 Place Quintinye,78590,Noisy-le-Roi,,Versailles
,Royaume-Uni,Ecoles internationales,Collège,Collège Louis Pasteur,30 Avenue de Circourt,78170,La Celle Saint-Cloud,www.clg-pasteur-lacelle.ac-versailles ,Versailles
,Royaume-Uni,Ecoles internationales,Collège,Collège Martin Luther King,9 Rue Collin Mamet,78530,Buc,,Versailles
,Royaume-Uni,Ecoles internationales,Lycée,Lycée franco-allemand (section anglophone),9 Rue Collin Mamet,78530,Buc,www.lyc-lfa-buc.ac-versailles.fr,Versailles
,Royaume-Uni,Ecoles internationales,Collège,Collège Maurice Ravel,89 Cours de Vincennes,75020,Paris,www.lycee-maurice-ravel.fr,Paris
,Royaume-Uni,Ecoles internationales,Collège,Collège Pierre et Marie Curie,"62, avenue Pierre et Marie Curie",78230,Le Pecq,www.clg-curie-lepecq.ac-versailles.fr ,Versailles
,Royaume-Uni,Ecoles internationales,Collège,Collège Watteau,58 Rue Théodore Honoré,94130,Nogent-sur-Marne,,Créteil
,Royaume-Uni,Ecoles internationales,Primaire,Ecole active bilingue Jeannine Manuel,70 Rue du Théâtre,75015,Paris,www.eabjm.com ,Paris
,Royaume-Uni,Ecoles internationales,Primaire,Ecole du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Royaume-Uni,Ecoles internationales,Primaire,Ecole élémentaire des 40 arpents,rue Auguste Renoir,78960,Voisins-le-Bretonneux,www.ec-40arpents-vlb.ac-versailles.fr,Versailles
,Royaume-Uni,Ecoles internationales,Primaire,Ecole Félix Eboué-Wilson,3 rue de Seine,78230,Le Pecq,,Versailles
