,Année,Stade URL,Nom pendant la CM (si différent),Capacité lors de la CM
1930,1930,http://fr.wikipedia.org/wiki/Stade_Centenario,,90000
,1930,http://fr.wikipedia.org/wiki/Estadio_Gran_Parque_Central,,15000
,1930,http://fr.wikipedia.org/wiki/Estadio_Pocitos,,5000
1934,1934,http://fr.wikipedia.org/wiki/Stadio_Littoriale,,25000
,1934,http://fr.wikipedia.org/wiki/Stadio_Artemio_Franchi_(Florence),Stadio Giovanni Berta,45000
,1934,http://fr.wikipedia.org/wiki/Stade_Luigi_Ferraris,Stadio Vittorio Marassi,25000
,1934,http://fr.wikipedia.org/wiki/Stade_San_Siro,Stade San Siro,42000
,1934,http://fr.wikipedia.org/wiki/Stade_Giorgio_Ascarelli,,12000
,1934,http://fr.wikipedia.org/wiki/Stadio_Nazionale_del_P.N.F.,,45000
,1934,http://fr.wikipedia.org/wiki/Stade_Giuseppe_Grezar,Stadio Littorio,8000
,1934,http://fr.wikipedia.org/wiki/Stadio_Olimpico_(Turin),Stadio Benito Mussolini,70000
1938,1938,http://fr.wikipedia.org/wiki/Stade_du_Fort_Carr%C3%A9,,17000
,1938,http://fr.wikipedia.org/wiki/Stade_Jacques-Chaban-Delmas,,25000
,1938,http://fr.wikipedia.org/wiki/Stade_olympique_Yves-du-Manoir,,64000
,1938,http://fr.wikipedia.org/wiki/Stade_Jules-Deschaseaux,,22000
,1938,http://fr.wikipedia.org/wiki/Stade_Henri-Jooris,Stade Victor-Boucquey,20000
,1938,http://fr.wikipedia.org/wiki/Stade_V%C3%A9lodrome,,39000
,1938,http://fr.wikipedia.org/wiki/Parc_des_Princes,,35000
,1938,http://fr.wikipedia.org/wiki/Stade_Auguste_Delaune,,18000
,1938,http://fr.wikipedia.org/wiki/Stade_de_la_Meinau,,24000
,1938,http://fr.wikipedia.org/wiki/Parc_des_Sports_(Toulouse),,15000
1950,1950,http://fr.wikipedia.org/wiki/Estadio_Independencia,,12000
,1950,http://fr.wikipedia.org/wiki/Est%C3%A1dio_Vila_Capanema,Estádio Durival de Britto,15000
,1950,http://fr.wikipedia.org/wiki/Stade_Ildo_Meneghetti,,12000
,1950,http://fr.wikipedia.org/wiki/Stade_Adelmar_da_Costa_Carvalho,Ilha do Retiro,10000
,1950,http://fr.wikipedia.org/wiki/Stade_Maracan%C3%A3,,200000
,1950,http://fr.wikipedia.org/wiki/Stade_Pacaembu,,55000
