eqseason,eqplace,eqstade,wpseason,wpstade,wpplace,
1930,Montevideo,Centenario,1930,Estadio Gran Parque Central,"Montevideo, Uruguay",
1930,Montevideo,Estadio Pocitos,1930,Estadio Pocitos,Montevideo,
1930,Montevideo,Parque Central,1930,Estadio Gran Parque Central,"Montevideo, Uruguay",
1934,Bologne,Stadio Littorale,1934,Stade Renato-Dall'Ara,"Via Andrea Costa 174 40134 Bologne, Italie",
1934,Florence,Stadio Berta,1934,Stade Artemio-Franchi (Florence),"Viale Manfredo Fanti, 4 50137 Florence (FI), Italie",
1934,Gênes,Stadio Marassi,1934,Stade Luigi-Ferraris,"Via Giovanni De Prà, 1 16139 Gênes (GE)",
1934,Milan,Stadio San Siro,1934,Stade Giuseppe-Meazza,"Via dei Piccolomini, 5 20151 Milan (MI), Italie",
1934,Naples,Stadio Ascarelli,1934,Stade Giorgio-Ascarelli,"Naples, Italie",
1934,Rome,Stadio del P.F.N.,1934,Stadio Nazionale del PNF,"Rome, Italie",
1934,Rome,Stadio del P.N.F.,1934,Stadio Nazionale del PNF,"Rome, Italie",
1934,Trieste,Stadio Littorio,1934,Stade Renato-Dall'Ara,"Via Andrea Costa 174 40134 Bologne, Italie",
1934,Turin,Stadio Mussolini,1934,Stade olympique de Turin,"Corso Sebastopoli, 123 10137 Turin, Italie",
1938,Antibes,Fort Carrée,1938,Stade du Fort Carré,Antibes,
1938,Bordeaux,Municipal,1938,Stade Jacques-Chaban-Delmas,Place Johnston 33000 Bordeaux,
1938,Colombes,Stade Olympique,1938,Stade olympique Yves-du-Manoir,Colombes,
1938,Colombes,Yves-du-Manoir,1938,Stade olympique Yves-du-Manoir,Colombes,
1938,Le Havre,Cavée Verte,1938,Stade Jules-Deschaseaux,109 rue du Commandant Abadie 76600 Le Havre,
1938,Lille,Victor-Boucquey,1938,Stade Henri-Jooris,Lille,
1938,Marseille,Vélodrome,1938,Stade Vélodrome,"3 boulevard Michelet, 13008 Marseille",
1938,Paris,Parc des Princes,1938,Parc des Princes,"24, rue du Commandant Guilbaud 75016 Paris",
1938,Reims,Auguste-Delaune,1938,Stade Auguste-Delaune,"33, chaussée Bocquaine 51100 Reims",
1938,Strasbourg,Meinau,1938,Stade de la Meinau,12 rue de l'Extenwoerth 67100 Strasbourg,
1938,Toulouse,Municipal,1938,Stade Ernest-Wallon,"114, rue des Troènes 31200 Toulouse Cedex 2",
1950,Belo Horizonte,Independencia,1950,Estádio Independência,undefined,
1950,Curitiba,Durival de Brito,1950,Stade Vila Capanema,"Curitiba, Paraná Brésil",
1950,Porto Alegre,Internacional,1950,Stade Ildo-Meneghetti,Porto Alegre,
1950,Recife,Estádio ECR,1950,Stade Adelmar-da-Costa-Carvalho,"Recife, PE",
1950,Rio de Janeiro,Maracanã,1950,Stade Maracanã,"Rue Professor Eurico Rabelo, s/nº, portão 18, Maracanã.",
1950,São Paulo,Estádio Pacaembu,1950,Stade du Pacaembu,"São Paulo, SP",
1954,Berne,Wankdorf-Stadion,1954,Stade du Wankdorf,Papiermühlestrasse 71 CH-3014 Berne,
1954,Bâle,Sankt Jakob-Stadion,1954,Stade Saint-Jacques,"Bâle, Suisse",
1954,Genève,Charmilles,1954,Stade des Charmilles,Genève (Suisse),
1954,Lausanne,La Pontaise,1954,Stade olympique de la Pontaise,"Route des Plaines du Loup 7 1018 Lausanne, VD",
1954,Lausanne,Stade Olympique,1954,Stade olympique de la Pontaise,"Route des Plaines du Loup 7 1018 Lausanne, VD",
